"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"crevasses","1","1","GCMD","A crack in an ice sheet or glacier (compare to crevice, which is in rock). Crevasses often have vertical or near-vertical walls, which can then melt and create seracs, arches, etc.; these walls sometimes expose layers that represent the glacier's stratigraphy.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL LANDFORMS -> CREVASSES']"
"critical phenomena","1","0","AGU Index Terms","","['Critical phenomena']"
"cross wind","1","0","Semantic Web for Earth and Environment Technology Ontology","","['cross wind']"
"cross-track infrared and advanced technology microwave sounders","1","1","Global Change Master Directory (GCMD)","[Source: NPOESS home page: http://npoess.noaa.gov/index.php?pg=crimss ] The Cross-track Infrared Sounder (CrIS) combined with the Advanced Technology Microwave Sounder (ATMS) globally produces atmospheric temperature, moisture and pressure profiles from space. CrIS and ATMS (CrIMSS) are the next generation operational sensor suite selected to fly on the National Polar- orbiting Operational Environmental Satellite System (NPOESS) spacecraft. CrIMSS will operationally produce high vertical resolution profile measurements of temperature, water vapor, and pressure. Combining both cross-track infrared and microwave sensors aboard the NPOESS satellite provides key Environmental Data Records (EDRs) CrIMSSMission Products Group: Instrument_Details Entry_ID: CRIMSS Group: Instrument_Identification Instrument_Category: Earth Remote Sensing Instruments Instrument_Class: Passive Remote Sensing Instrument_Type: Profilers/Sounders Short_Name: CRIMSS Long_Name: Cross-track Infrared and Advanced Technology Microwave Sounders End_Group Group: Instrument_Associated_Sensors Short_Name: ATMS Short_Name: CRIS-NPOESS End_Group Group: Associated_Platforms Short_Name: SUOMI-NPP Short_Name: JPSS-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Coverage_Range: LWIR Band 650-1095 cm-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Coverage_Range: MWIR Band 1210-1750 cm-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Coverage_Range: SWIR Band 2155-2550 cm-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Resolution: LWIR Band < 0.625 cm-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Resolution: MWIR Band < 1.25 cm-1 End_Group Group: Spectral_Frequency_Information Spectral_Frequency_Resolution: SWIR Band < 2.50 cm-1 End_Group Online_Resource: http://npoess.noaa.gov/index.php?pg=instr Online_Resource: http://npp.gsfc.nasa.gov/cris.html Online_Resource: http://npp.gsfc.nasa.gov/atms.html Creation_Date: 2008-11-14 Group: Instrument_Logistics Instrument_Owner: USA/NOAA Instrument_Owner: USA/NASA End_Group End_Group","['Cross-track Infrared and Advanced Technology Microwave Sounders']"
"crust rebound","1","1","GCMD","Post-glacial rebound (sometimes called continental rebound, glacial isostatic adjustment) is the rise of land masses that were depressed by the huge weight of ice sheets during the last glacial period, through a process known as isostasy. It affects northern Europe (especially Scotland, Fennoscandia and northern Denmark), Siberia, Canada, the Great Lakes of Canada and the United States, parts of Patagonia, and Antarctica.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> CRUST REBOUND']"
"current density unit","1","1","Heliophysics Events Knowledgebase","Current density unit (e.g. 'mA/m^2')","['CurrentDensityUnit']"
"corona holes","1","1","GCMD","An extended region in the solar corona where the density and temperature arelower than other places in the corona. The weak diverging and open magneticfield lines in coronal holes extend radially outward and do not immediatelyreturn to the sun. The high speed part of the solar wind comes from coronalholes. Reference: the Cambridge Encyclopedia of the Sun, The Cambridge UniversityPress, Cambridge, CB2, 2RU, UK, 2001.","['EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ACTIVITY -> CORONA HOLES']"
"current helicity unit","1","1","Heliophysics Events Knowledgebase","Current helicity unit (e.g. '(G^2)/m')","['CurrentHelicityUnit']"
"current meters","1","0","Global Change Master Directory (GCMD)","","['CURRENT METERS']"
"current research information system, usda-csrees","1","1","Global Change Master Directory (GCMD)","The USDA Current Research Information System is a documentation and reporting system for ongoing and recently completed research projects in agriculture, food and nutrition, and forestry. Projects are conducted or sponsored by USDA research agencies, state agricultural experiment stations, the state land-grant university system, other cooperating state institutions, and participants in a number of USDA-administered grant programs, including Small Business Innovation Research (SBIR), National Research Initiative (NRI), and Biotechnology Risk Assessment (BRAG). Website: http://cris.csrees.usda.gov/ [Summary provided by the USDA.]","['Current Research Information System, USDA-CSREES']"
"current systems","1","0","AGU Index Terms","","['Current systems']"
"current time","1","0","Semantic Web for Earth and Environment Technology Ontology","","['current time']"
"current unit","1","1","Heliophysics Events Knowledgebase","Current unit (e.g. 'A')","['CurrentUnit']"
"current/wind meters","1","1","Global Change Master Directory (GCMD)","Current meters are devices designed to measure speed alone or velocity of flowing water. A wind meter is a device for measuring wind speed, and is a common weather station instrument. Group: Instrument_Details Entry_ID: Current/Wind Meters Group: Instrument_Identification Instrument_Category: In Situ/Laboratory Instruments Short_Name: Current/Wind Meters End_Group End_Group","['Current -> Wind Meters -> Current/Wind Meters']"
"crater","1","1","GCMD","A circular depression around the vent of a volcano. Craters occur where lava overflows and hardens or where the walls collapse as the magma sinks down the vent after an eruption.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> TECTONIC LANDFORMS -> CRATER']"
"coverage portrayal service","1","1","GCMD","Dynamically produces client-specified pictorial renderings in an image or graphics format of a coverage subset dynamically retrieved from a Web Coverage Service (WCS).","['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> COVERAGE PORTRAYAL SERVICE']"
"coverage generalization services","1","1","GCMD","Service that reduces spatial variation in a coverage to counteract the undesirable effects of scale reduction.","['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> COVERAGE GENERALIZATION SERVICES']"
"coupling, energetics, and dynamics of atmospheric regions","1","1","Global Change Master Directory (GCMD)","Coupling, Energetics and Dynamics of Atmospheric Regions (CEDAR) is a focused Global Change program sponsored by the National Science Foundation (NSF) to enhance the capability of ground-based instruments to measure the upper atmosphere and to coordinate instrument and model data for the benefit of the scientific community. The CEDAR Data Base (formerly the Incoherent Scatter Radar Data Base) is a cooperative project between the National Center for Atmospheric Research (NCAR) and several institutions that provide upper atmosphere data and model output for community use. There are 10 GB of data on the cedar.hao.ucar.edu computer in the High Altitude Observatory (HAO) division of NCAR. The CEDAR Data Base, Data Base Catalog, ftp site, and model output data are located at the HAO: http://cedarweb.hao.ucar.edu/index.html The CEDAR concept originated in the mid-1980s and was developed over several years through workshops, symposia, and committee deliberations by nearly 100 scientists involved in aeronomical studies. These activities led to a comprehensive report that provided a framework for developing upper atmospheric research in the United States through an evolutionary strategy of instrument development and deployment coordinated with campaign activities related to the globalscale, coupled, nearearth environment. The program has attracted a large number of graduate students and many international collaborators. Guidance is provided by a science steering committee appointed by the NSF Aeronomy and Upper Atmospheric Facilities program directors; scientific feedback to the community is provided by newsletters and an annual summer workshop. Three broad categories embrace the scientific goals of the CEDAR program: (1) dynamics and energetics of the upper atmosphere, with particular emphasis on the hard to observe region between 80 and 150 km; (2) coupling between the mesosphere, ionosphere, thermosphere, exosphere, and magnetosphere; and (3) horizontal coupling between adjacent geographic regions. CEDAR has provided the community with improved spectrometers, interferometers, and imagers; allowed upgrades of existing facilities; and supported the development of lidars and small radars. Several facilities have been established containing a broad array of state of the art tools to provide a solid infrastructure with which to attack outstanding aeronomy problems well into the future. An Interim Review, 1988-1992 Prepared by the CEDAR Science Steering Committee is available at: http://www.nsf.gov/geo/egch/ Contacts: Barbara Emery High Altitude Observatory National Center for Atmospheric Research P.O. Box 3000 Boulder, CO 80307 Phone: 303-497-1596 FAX: 303-497-1589 Email: emery&#64ucar.edu Roy Barnes Scientific Computing Division National Center for Atmospheric Research P.O. Box 3000 Boulder, CO 80307 Phone: 303-497-1230 FAX: 303-497-1137 Email: bozo&#64ucar.edu Mailing address: CEDAR Data Base High Altitude Observatory (HAO) National Center for Atmospheric Research (NCAR) Post Office Box 3000 Boulder, CO 80307-3000, USA","['Coupling, Energetics, and Dynamics of Atmospheric Regions']"
